Data are continuously updated and reviewed.,,
The format of this file is as follows:,,
POS.  1-8   = Date of daily flow  CCYYMMDD,,
POS. 10-18  = Daily avg flow rate in cubic metres/sec 99999.999,,
POS. 20-24  = Quality code,,
,,
B7H026,,
Variable 100.00 Surface Water Level,,
,,
date,discharge,quality
19950705,0.61,1
19950706,0.923,1
19950707,2.982,1
19950708,2.087,1
19950709,1.382,1
19950710,1.038,1
19950711,0.989,1
19950712,0.818,1
19950713,0.792,1
19950714,0.711,1
19950715,0.715,1
19950716,0.686,1
19950717,0.649,1
19950718,0.651,1
19950719,0.654,1
19950720,0.655,1
19950721,0.656,1
19950722,0.656,1
19950723,0.656,1
19950724,0.656,1
19950725,0.656,1
19950726,0.656,1
19950727,0.656,1
19950728,0.648,1
19950729,0.618,1
19950730,0.592,1
19950731,0.59,1
19950801,0.59,1
19950802,0.59,1
19950803,0.577,1
19950804,0.518,1
19950805,0.429,1
19950806,0.253,1
19950807,0.13,1
19950808,0.103,1
19950809,0.078,1
19950810,0.057,1
19950811,0.038,1
19950812,0.032,1
19950813,0.018,1
19950814,0.003,1
19950815,0.02,1
19950816,0.101,1
19950817,0.164,1
19950818,0.275,1
19950819,0.565,1
19950820,0.463,1
19950821,0.56,1
19950822,0.752,1
19950823,0.693,1
19950824,0.669,1
19950825,0.58,1
19950826,0.549,1
19950827,0.469,1
19950828,0.548,1
19950829,0.667,1
19950830,0.551,1
19950831,0.554,1
19950901,0.646,1
19950902,0.532,1
19950903,0.415,1
19950904,0.553,1
19950905,0.477,1
19950906,0.551,1
19950907,0.586,1
19950908,0.504,1
19950909,0.55,1
19950910,0.591,1
19950911,0.555,1
19950912,0.412,1
19950913,0.343,1
19950914,0.332,1
19950915,0.299,1
19950916,0.283,1
19950917,0.283,1
19950918,0.283,1
19950919,0.283,1
19950920,0.283,1
19950921,0.283,1
19950922,0.283,1
19950923,0.282,1
19950924,0.269,1
19950925,0.248,1
19950926,0.185,1
19950927,0.129,1
19950928,0.103,1
19950929,0.078,1
19950930,0.057,1
19951001,0.038,1
19951002,0.032,1
19951003,0.017,1
19951004,0.009,1
19951005,0.003,1
19951006,0.001,1
19951007,0,1
19951008,0,1
19951009,0.138,1
19951010,0.602,1
19951011,0.422,1
19951012,0.321,1
19951013,0.211,1
19951014,0.156,1
19951015,0.138,1
19951016,0.16,1
19951017,0.23,1
19951018,0.248,1
19951019,0.239,1
19951020,0.392,1
19951021,0.434,1
19951022,0.553,1
19951023,0.382,1
19951024,0.298,1
19951025,0.356,1
19951026,0.322,1
19951027,0.256,1
19951028,0.228,1
19951029,0.253,1
19951030,0.312,1
19951031,0.324,1
19951101,0.324,1
19951102,0.223,1
19951103,0.179,1
19951104,0.154,1
19951105,0.165,1
19951106,0.489,1
19951107,0.396,1
19951108,0.323,1
19951109,0.233,1
19951110,0.419,1
19951111,0.594,1
19951112,27.224,1
19951113,22.554,1
19951114,16.519,1
19951115,11.968,1
19951116,7.29,1
19951117,5.622,1
19951118,3.778,1
19951119,4.903,1
19951120,3.675,1
19951121,3.707,1
19951122,3.233,1
19951123,2.852,1
19951124,39.564,1
19951125,57.365,1
19951126,62.428,1
19951127,28.376,1
19951128,21.293,1
19951129,26.283,1
19951130,18.444,1
19951201,13.83,1
19951202,11.388,1
19951203,9.609,1
19951204,15.274,1
19951205,17.17,1
19951206,12.895,1
19951207,8.956,1
19951208,7.162,1
19951209,6.402,1
19951210,6.036,1
19951211,5.188,1
19951212,4.597,1
19951213,6.836,1
19951214,11.241,1
19951215,9.143,1
19951216,6.863,1
19951217,5.581,1
19951218,5.72,1
19951219,5.183,1
19951220,4.372,1
19951221,3.316,1
19951222,7.327,1
19951223,20.549,1
19951224,19.35,1
19951225,46.28,1
19951226,71.288,1
19951227,151.515,1
19951228,113.079,1
19951229,81.768,1
19951230,65.816,1
19951231,48.746,1
19960101,45.525,1
19960102,39.305,1
19960103,33.603,1
19960104,33.221,1
19960105,25.538,1
19960106,24.345,1
19960107,26.474,1
19960108,25.703,1
19960109,23.119,1
19960110,20.448,1
19960111,31.318,1
19960112,61.595,1
19960113,75.4,1
19960114,114.918,1
19960115,247.199,1
19960116,221.808,1
19960117,201.503,1
19960118,169.065,1
19960119,146.719,1
19960120,133.231,1
19960121,136.321,1
19960122,164.458,1
19960123,150.778,1
19960124,154.751,1
19960125,231.006,1
19960126,330.812,60
19960127,364.745,60
19960128,369.402,60
19960129,299.087,1
19960130,263.43,1
19960131,340.549,60
19960201,371.978,60
19960202,381.39,60
19960203,351.292,60
19960204,252.286,1
19960205,209.9,1
19960206,197.913,1
19960207,200.326,1
19960208,200.25,1
19960209,200.37,1
19960210,209.476,1
19960211,374.58,60
19960212,,160
19960213,,160
19960214,,160
19960215,,160
19960216,,160
19960217,,160
19960218,,160
19960219,,160
19960220,,160
19960221,,160
19960222,,160
19960223,,160
19960224,,160
19960225,,160
19960226,,160
19960227,,160
19960228,,160
19960229,,160
19960301,,160
19960302,,160
19960303,,160
19960304,,160
19960305,,160
19960306,,160
19960307,,160
19960308,,160
19960309,,160
19960310,,160
19960311,,160
19960312,,160
19960313,,160
19960314,,160
19960315,,160
19960316,,160
19960317,,160
19960318,,160
19960319,,160
19960320,,160
19960321,,160
19960322,,160
19960323,,160
19960324,,160
19960325,,160
19960326,,160
19960327,,160
19960328,,160
19960329,,160
19960330,,160
19960331,,160
19960401,,160
19960402,,160
19960403,,160
19960404,,160
19960405,,160
19960406,,160
19960407,,160
19960408,,160
19960409,,160
19960410,,160
19960411,,160
19960412,,160
19960413,,160
19960414,,160
19960415,,160
19960416,,160
19960417,,160
19960418,,160
19960419,,160
19960420,,160
19960421,,160
19960422,,160
19960423,,160
19960424,,160
19960425,,160
19960426,,160
19960427,,160
19960428,,160
19960429,,160
19960430,,160
19960501,,160
19960502,,160
19960503,,160
19960504,,160
19960505,,160
19960506,,160
19960507,,160
19960508,,160
19960509,,160
19960510,,160
19960511,,160
19960512,,160
19960513,,160
19960514,,160
19960515,,160
19960516,,160
19960517,,160
19960518,,160
19960519,,160
19960520,,160
19960521,,160
19960522,,160
19960523,,160
19960524,,160
19960525,,160
19960526,,160
19960527,,160
19960528,,160
19960529,,160
19960530,,160
19960531,,160
19960601,,160
19960602,,160
19960603,,160
19960604,,160
19960605,,160
19960606,,160
19960607,,160
19960608,,160
19960609,,160
19960610,,160
19960611,,160
19960612,,160
19960613,,160
19960614,,160
19960615,,160
19960616,,160
19960617,,160
19960618,,160
19960619,,160
19960620,,160
19960621,,160
19960622,,160
19960623,,160
19960624,,160
19960625,,160
19960626,,160
19960627,,160
19960628,,160
19960629,,160
19960630,,160
19960701,,160
19960702,,160
19960703,,160
19960704,,160
19960705,,160
19960706,,160
19960707,,160
19960708,,160
19960709,,160
19960710,,160
19960711,,160
19960712,,160
19960713,,160
19960714,,160
19960715,,160
19960716,,160
19960717,,160
19960718,,160
19960719,,160
19960720,,160
19960721,,160
19960722,,160
19960723,,160
19960724,,160
19960725,,160
19960726,,160
19960727,,160
19960728,,160
19960729,,160
19960730,,160
19960731,,160
19960801,,160
19960802,,160
19960803,,160
19960804,,160
19960805,,160
19960806,,160
19960807,,160
19960808,,160
19960809,,160
19960810,,160
19960811,,160
19960812,,160
19960813,,160
19960814,,160
19960815,,160
19960816,,160
19960817,,160
19960818,,160
19960819,,160
19960820,,160
19960821,,160
19960822,,160
19960823,,160
19960824,,160
19960825,,160
19960826,,160
19960827,,160
19960828,,160
19960829,,160
19960830,,160
19960831,,160
19960901,,160
19960902,,160
19960903,,160
19960904,,160
19960905,,160
19960906,,255
19960907,,255
19960908,,255
19960909,,255
19960910,,255
19960911,,255
19960912,,255
19960913,,255
19960914,,255
19960915,,255
19960916,,255
19960917,,255
19960918,,255
19960919,,255
19960920,,255
19960921,,255
19960922,,255
19960923,,255
19960924,,255
19960925,,255
19960926,,255
19960927,,255
19960928,,255
19960929,,255
19960930,,255
19961001,,255
19961002,,255
19961003,,255
19961004,,255
19961005,,255
19961006,,255
19961007,,255
19961008,,255
19961009,,255
19961010,,255
19961011,,255
19961012,,255
19961013,,255
19961014,,255
19961015,,255
19961016,,255
19961017,,255
19961018,,255
19961019,,255
19961020,,255
19961021,,255
19961022,,255
19961023,,255
19961024,,255
19961025,,255
19961026,,255
19961027,,255
19961028,,255
19961029,,255
19961030,,255
19961031,,255
19961101,,255
19961102,,255
19961103,,255
19961104,,255
19961105,,255
19961106,,255
19961107,,255
19961108,,255
19961109,,255
19961110,,255
19961111,,255
19961112,,255
19961113,,255
19961114,,255
19961115,,255
19961116,,255
19961117,,255
19961118,,255
19961119,,255
19961120,,255
19961121,,255
19961122,,255
19961123,,255
19961124,,255
19961125,,255
19961126,,255
19961127,,255
19961128,,255
19961129,,255
19961130,,255
19961201,,255
19961202,,255
19961203,,255
19961204,,255
19961205,,255
19961206,,255
19961207,,255
19961208,,255
19961209,,255
19961210,,255
19961211,,255
19961212,,255
19961213,,255
19961214,,255
19961215,,255
19961216,,255
19961217,,255
19961218,,255
19961219,,255
19961220,,255
19961221,,255
19961222,,255
19961223,,255
19961224,,255
19961225,,255
19961226,,255
19961227,,255
19961228,,255
19961229,,255
19961230,,255
19961231,,255
19970101,,255
19970102,,255
19970103,,255
19970104,,255
19970105,,255
19970106,,255
19970107,,255
19970108,,255
19970109,,255
19970110,,255
19970111,,255
19970112,,255
19970113,,255
19970114,,255
19970115,,255
19970116,,255
19970117,,255
19970118,,255
19970119,,255
19970120,,255
19970121,,255
19970122,,255
19970123,,255
19970124,,255
19970125,,255
19970126,,255
19970127,,255
19970128,,255
19970129,,255
19970130,,255
19970131,,255
19970201,,255
19970202,,255
19970203,,255
19970204,,255
19970205,,255
19970206,,255
19970207,,255
19970208,,255
19970209,,255
19970210,,255
19970211,,255
19970212,,255
19970213,,255
19970214,,255
19970215,,255
19970216,,255
19970217,,255
19970218,,255
19970219,,255
19970220,,255
19970221,,255
19970222,,255
19970223,,255
19970224,,255
19970225,,255
19970226,,255
19970227,,255
19970228,,255
19970301,,255
19970302,,255
19970303,,255
19970304,,255
19970305,,255
19970306,,255
19970307,,255
19970308,,255
19970309,,255
19970310,,255
19970311,,255
19970312,,255
19970313,,255
19970314,,255
19970315,,255
19970316,,255
19970317,,255
19970318,,255
19970319,,255
19970320,,255
19970321,,255
19970322,,255
19970323,,255
19970324,,255
19970325,,255
19970326,,255
19970327,,255
19970328,,255
19970329,,255
19970330,,255
19970331,,255
19970401,,255
19970402,,255
19970403,,255
19970404,,255
19970405,,255
19970406,,255
19970407,,255
19970408,,255
19970409,,255
19970410,,255
19970411,,255
19970412,,255
19970413,,255
19970414,,255
19970415,,255
19970416,,255
19970417,,255
19970418,,255
19970419,,255
19970420,,255
19970421,,255
19970422,,255
19970423,,255
19970424,,255
19970425,,255
19970426,,255
19970427,,255
19970428,,255
19970429,,255
19970430,,255
19970501,,255
19970502,,255
19970503,,255
19970504,,255
19970505,,255
19970506,,255
19970507,,255
19970508,,255
19970509,,255
19970510,,255
19970511,,255
19970512,,255
19970513,,255
19970514,,255
19970515,,255
19970516,,255
19970517,,255
19970518,,255
19970519,,255
19970520,,255
19970521,,255
19970522,,255
19970523,,255
19970524,,255
19970525,,255
19970526,,255
19970527,,255
19970528,,255
19970529,,255
19970530,,255
19970531,,255
19970601,,255
19970602,,255
19970603,,255
19970604,,255
19970605,,255
19970606,,255
19970607,,255
19970608,,255
19970609,,255
19970610,,255
19970611,,255
19970612,,255
19970613,,255
19970614,,255
19970615,,255
19970616,,255
19970617,,255
19970618,,255
19970619,,255
19970620,,255
19970621,,255
19970622,,255
19970623,,255
19970624,,255
19970625,,255
19970626,,255
19970627,,255
19970628,,255
19970629,,255
19970630,,255
19970701,,255
19970702,,255
19970703,,255
19970704,,255
19970705,,255
19970706,,255
19970707,,255
19970708,,255
19970709,,255
19970710,,255
19970711,,255
19970712,,255
19970713,,255
19970714,,255
19970715,,255
19970716,,255
19970717,,255
19970718,,255
19970719,,255
19970720,,255
19970721,,255
19970722,,255
19970723,,255
19970724,,255
19970725,,255
19970726,,255
19970727,,255
19970728,,255
19970729,,255
19970730,,255
19970731,,255
19970801,,255
19970802,,255
19970803,,255
19970804,,255
19970805,,255
19970806,,255
19970807,,255
19970808,,255
19970809,,255
19970810,,255
19970811,,255
19970812,,255
19970813,,255
19970814,,255
19970815,,255
19970816,,255
19970817,,255
19970818,,255
19970819,,255
19970820,,255
19970821,,255
19970822,,255
19970823,,255
19970824,,255
19970825,,255
19970826,,255
19970827,,255
19970828,,255
19970829,,255
19970830,,255
19970831,,255
19970901,,255
19970902,,255
19970903,,255
19970904,,255
19970905,,255
19970906,,255
19970907,,255
19970908,,255
19970909,,255
19970910,,255
19970911,,255
19970912,,255
19970913,,255
19970914,,255
19970915,,255
19970916,,255
19970917,,255
19970918,,255
19970919,,255
19970920,,255
19970921,,255
19970922,,255
19970923,,255
19970924,,255
19970925,,255
19970926,,255
19970927,,255
19970928,,255
19970929,,255
19970930,,255
19971001,,255
19971002,,255
19971003,,255
19971004,,255
19971005,,255
19971006,,255
19971007,,255
19971008,,255
19971009,,255
19971010,,255
19971011,,255
19971012,,255
19971013,,255
19971014,,255
19971015,,255
19971016,,255
19971017,,255
19971018,,255
19971019,,255
19971020,,255
19971021,,255
19971022,,255
19971023,,255
19971024,,255
19971025,,255
19971026,,255
19971027,,255
19971028,,255
19971029,,255
19971030,,255
19971031,,255
19971101,,255
19971102,,255
19971103,,255
19971104,,255
19971105,,255
19971106,,255
19971107,,255
19971108,,255
19971109,,255
19971110,,255
19971111,,255
19971112,,255
19971113,,255
19971114,,255
19971115,,255
19971116,,255
19971117,,255
19971118,,255
19971119,,255
19971120,,255
19971121,,255
19971122,,255
19971123,,255
19971124,,255
19971125,,255
19971126,,255
19971127,,255
19971128,,255
19971129,,255
19971130,,255
19971201,,255
19971202,,255
19971203,,255
19971204,,255
19971205,,255
19971206,,255
19971207,,255
19971208,,255
19971209,,255
19971210,,255
19971211,,255
19971212,,255
19971213,,255
19971214,,255
19971215,,255
19971216,,255
19971217,,255
19971218,,255
19971219,,255
19971220,,255
19971221,,255
19971222,,255
19971223,,255
19971224,,255
19971225,,255
19971226,,255
19971227,,255
19971228,,255
19971229,,255
19971230,,255
19971231,,255
19980101,,255
19980102,,255
19980103,,255
19980104,,255
19980105,,255
19980106,,255
19980107,,255
19980108,,255
19980109,,255
19980110,,255
19980111,,255
19980112,,255
19980113,,255
19980114,,255
19980115,,255
19980116,,255
19980117,,255
19980118,,255
19980119,,255
19980120,,255
19980121,,255
19980122,,255
19980123,,255
19980124,,255
19980125,,255
19980126,,255
19980127,,255
19980128,,255
19980129,,255
19980130,,255
19980131,,255
19980201,,255
19980202,,255
19980203,,255
19980204,,255
19980205,,255
19980206,,255
19980207,,255
19980208,,255
19980209,,255
19980210,,255
19980211,,255
19980212,,255
19980213,,255
19980214,,255
19980215,,255
19980216,,255
19980217,,255
19980218,,255
19980219,,255
19980220,,255
19980221,,255
19980222,,255
19980223,,255
19980224,,255
19980225,,255
19980226,,255
19980227,,255
19980228,,255
19980301,,255
19980302,,255
19980303,,255
19980304,,255
19980305,,255
19980306,,255
19980307,,255
19980308,,255
19980309,,255
19980310,,255
19980311,,255
19980312,,255
19980313,,255
19980314,,255
19980315,,255
19980316,,255
19980317,,255
19980318,,255
19980319,,255
19980320,,255
19980321,,255
19980322,,255
19980323,,255
19980324,,255
19980325,,255
19980326,,255
19980327,,255
19980328,,255
19980329,,255
19980330,,255
19980331,,255
19980401,,255
19980402,,255
19980403,,255
19980404,,255
19980405,,255
19980406,,255
19980407,,255
19980408,,255
19980409,,255
19980410,,255
19980411,,255
19980412,,255
19980413,,255
19980414,,255
19980415,,255
19980416,,255
19980417,,255
19980418,,255
19980419,,255
19980420,,255
19980421,,255
19980422,,255
19980423,,255
19980424,,255
19980425,,255
19980426,,255
19980427,,255
19980428,,255
19980429,,255
19980430,,255
19980501,,255
19980502,,255
19980503,,255
19980504,,255
19980505,,255
19980506,,255
19980507,,255
19980508,,255
19980509,,255
19980510,,255
19980511,,255
19980512,,255
19980513,,255
19980514,,255
19980515,,255
19980516,,255
19980517,,255
19980518,,255
19980519,,255
19980520,,255
19980521,,255
19980522,,255
19980523,,255
19980524,,255
19980525,,255
19980526,,255
19980527,,255
19980528,,255
19980529,,255
19980530,,255
19980531,,255
19980601,,255
19980602,,255
19980603,,255
19980604,,255
19980605,,255
19980606,,255
19980607,,255
19980608,,255
19980609,,255
19980610,,255
19980611,,255
19980612,,255
19980613,,255
19980614,,255
19980615,,255
19980616,,255
19980617,,255
19980618,,255
19980619,,255
19980620,,255
19980621,,255
19980622,,255
19980623,,255
19980624,,255
19980625,,255
19980626,,255
19980627,,255
19980628,,255
19980629,,255
19980630,,255
19980701,,255
19980702,,255
19980703,,255
19980704,,255
19980705,,255
19980706,,255
19980707,,255
19980708,,255
19980709,,255
19980710,,255
19980711,,255
19980712,,255
19980713,,255
19980714,,255
19980715,,255
19980716,,255
19980717,,255
19980718,,255
19980719,,255
19980720,,255
19980721,,255
19980722,,255
19980723,,255
19980724,,255
19980725,,255
19980726,,255
19980727,,255
19980728,,255
19980729,,255
19980730,,255
19980731,,255
19980801,,255
19980802,,255
19980803,,255
19980804,,255
19980805,,255
19980806,,255
19980807,,255
19980808,,255
19980809,,255
19980810,,255
19980811,,255
19980812,,255
19980813,,255
19980814,,255
19980815,,255
19980816,,255
19980817,,255
19980818,,255
19980819,,255
19980820,,255
19980821,,255
19980822,,255
19980823,,255
19980824,,255
19980825,,255
19980826,,255
19980827,,255
19980828,,255
19980829,,255
19980830,,255
19980831,,255
19980901,,255
19980902,,255
19980903,,255
19980904,,255
19980905,,255
19980906,,255
19980907,,255
19980908,,255
19980909,,255
19980910,,255
19980911,,255
19980912,,255
19980913,,255
19980914,,255
19980915,,255
19980916,,255
19980917,,255
19980918,,255
19980919,,255
19980920,,255
19980921,,255
19980922,,255
19980923,,255
19980924,,255
19980925,,255
19980926,,255
19980927,,255
19980928,,255
19980929,,255
19980930,,255
19981001,,255
19981002,,255
19981003,,255
19981004,,255
19981005,,255
19981006,,255
19981007,,255
19981008,,255
19981009,,255
19981010,,255
19981011,,255
19981012,,255
19981013,,255
19981014,,255
19981015,,255
19981016,,255
19981017,,255
19981018,,255
19981019,,255
19981020,,255
19981021,,255
19981022,,255
19981023,,255
19981024,,255
19981025,,255
19981026,,255
19981027,,255
19981028,,255
19981029,,255
19981030,,255
19981031,,255
19981101,,255
19981102,,255
19981103,,255
19981104,,255
19981105,,255
19981106,,255
19981107,,255
19981108,,255
19981109,,255
19981110,,255
19981111,,255
19981112,,255
19981113,,255
19981114,,255
19981115,,255
19981116,,255
19981117,,255
19981118,,255
19981119,,255
19981120,,255
19981121,,255
19981122,,255
19981123,,255
19981124,,255
19981125,,255
19981126,,255
19981127,,255
19981128,,255
19981129,,255
19981130,,255
19981201,,255
19981202,,255
19981203,,255
19981204,,255
19981205,,255
19981206,,255
19981207,,255
19981208,,255
19981209,,255
19981210,,255
19981211,,255
19981212,,255
19981213,,255
19981214,,255
19981215,,255
19981216,,255
19981217,,255
19981218,,255
19981219,,255
19981220,,255
19981221,,255
19981222,,255
19981223,,255
19981224,,255
19981225,,255
19981226,,255
19981227,,255
19981228,,255
19981229,,255
19981230,,255
19981231,,255
19990101,,255
19990102,,255
19990103,,255
19990104,,255
19990105,,255
19990106,,255
19990107,,255
19990108,,255
19990109,,255
19990110,,255
19990111,,255
19990112,,255
19990113,,255
19990114,,255
19990115,,255
19990116,,255
19990117,,255
19990118,,255
19990119,,255
19990120,,255
19990121,,255
19990122,,255
19990123,,255
19990124,,255
19990125,,255
19990126,,255
19990127,,255
19990128,,255
19990129,,255
19990130,,255
19990131,,255
19990201,,255
19990202,,255
19990203,,255
19990204,,255
19990205,,255
19990206,,255
19990207,,255
19990208,,255
19990209,,255
19990210,,255
19990211,,255
19990212,,255
19990213,,255
19990214,,255
19990215,,255
19990216,,255
19990217,,255
19990218,,255
19990219,,255
19990220,,255
19990221,,255
19990222,,255
19990223,,255
19990224,,255
19990225,,255
19990226,,255
19990227,,255
19990228,,255
19990301,,255
19990302,,255
19990303,,255
19990304,,255
19990305,,255
19990306,,255
19990307,,255
19990308,,255
19990309,,255
19990310,,255
19990311,,255
19990312,,255
19990313,,255
19990314,,255
19990315,,255
19990316,,255
19990317,,255
19990318,,255
19990319,,255
19990320,,255
19990321,,255
19990322,,255
19990323,,255
19990324,,255
19990325,,255
19990326,,255
19990327,,255
19990328,,255
19990329,,255
19990330,,255
19990331,,255
19990401,,255
19990402,,255
19990403,,255
19990404,,255
19990405,,255
19990406,,255
19990407,,255
19990408,,255
19990409,,255
19990410,,255
19990411,,255
19990412,,255
19990413,,255
19990414,,255
19990415,,255
19990416,,255
19990417,,255
19990418,,255
19990419,,255
19990420,,255
19990421,,255
19990422,,255
19990423,,255
19990424,,255
19990425,,255
19990426,,255
19990427,,255
19990428,,255
19990429,,255
19990430,,255
19990501,,255
19990502,,255
19990503,,255
19990504,,255
19990505,,255
19990506,,255
19990507,,255
19990508,,255
19990509,,255
19990510,,255
